state,county,urban,tot_pop,pop_half,pop1,pop10,pop20,vehicle_half,vehicle1,vehicle10,vehicle20,sum_tract
Illinois,Madison,Rural,51618,49900,48189,0,0,621,605,0,0,632
Illinois,Madison,Urban,217664,173931,100689,0,0,4639,2677,0,0,6062
Illinois,Marion,Rural,19350,19349,18857,3988,0,284,280,65,0,282
Illinois,Marion,Urban,20087,14324,5908,0,0,715,284,0,0,884
Illinois,Marshall,Rural,12640,10147,9226,265,0,114,97,0,0,154
Illinois,Mason,Rural,11297,9656,8839,3902,0,210,189,85,0,299
Illinois,Mason,Urban,3369,2561,624,0,0,110,35,0,0,147
Illinois,Massac,Rural,8724,8718,8675,57,0,105,104,0,0,97
Illinois,Massac,Urban,6705,3666,792,0,0,245,54,0,0,407
Illinois,McDonough,Rural,7519,7514,7498,1700,0,121,121,28,0,108
Illinois,McDonough,Urban,25093,18228,5113,0,0,531,100,0,0,900
Illinois,McHenry,Rural,77762,71701,55885,0,0,915,694,0,0,1037
Illinois,McHenry,Urban,230998,196963,134513,0,0,1598,884,0,0,2374
Illinois,McLean,Rural,36197,32849,30390,2239,0,253,231,26,0,300
Illinois,McLean,Urban,133375,104675,53384,0,0,2993,1276,0,0,3804
Illinois,Menard,Rural,8632,7452,6490,30,0,115,96,0,0,131
Illinois,Menard,Urban,4073,2915,1608,0,0,91,44,0,0,163
Illinois,Mercer,Rural,12516,11609,11133,1275,0,168,163,36,0,190
Illinois,Mercer,Urban,3918,3799,2421,0,0,131,63,0,0,149
Illinois,Monroe,Rural,14673,14174,13796,153,0,133,132,0,0,141
Illinois,Monroe,Urban,18284,16183,12197,0,0,235,162,0,0,293
Illinois,Montgomery,Rural,18537,17617,16032,620,0,214,172,7,0,193
Illinois,Montgomery,Urban,11567,9678,6265,0,0,323,230,0,0,393
Illinois,Morgan,Rural,12441,12416,12404,5095,0,114,114,65,0,116
Illinois,Morgan,Urban,23106,18006,8106,0,0,581,292,0,0,861
Illinois,Moultrie,Rural,10599,9885,9635,175,0,405,400,5,0,393
Illinois,Moultrie,Urban,4247,2425,199,0,0,57,3,0,0,160
Illinois,Ogle,Rural,35852,33474,29122,606,0,543,410,5,0,616
Illinois,Ogle,Urban,17645,12360,7302,0,0,210,109,0,0,405
Illinois,Peoria,Rural,39759,36332,35150,141,0,277,266,2,0,310
Illinois,Peoria,Urban,146735,100350,46556,0,0,4467,1338,0,0,6752
Illinois,Perry,Rural,15556,13711,12300,369,0,119,92,1,0,175
Illinois,Perry,Urban,6794,6475,4784,0,0,220,134,0,0,250
Illinois,Piatt,Rural,10829,10829,10829,239,0,100,100,2,0,97
Illinois,Piatt,Urban,5900,3935,1292,0,0,65,10,0,0,74
Illinois,Pike,Rural,11668,10529,10279,2941,0,148,142,53,0,186
Illinois,Pike,Urban,4762,2751,530,0,0,97,13,0,0,150
Illinois,Pope,Rural,4470,3837,3741,1082,0,66,63,16,0,89
Illinois,Pulaski,Rural,6161,5337,5183,1284,0,232,225,105,0,256
